Entry	Entry Name	Gene Names (primary)	Protein names	Length		Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)	PubMed ID	Domain [CC]
P38075	PDX3_YEAST	PDX3	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx)	228		pyridoxal 5'-phosphate salvage [GO:0009443]; pyridoxine biosynthetic process [GO:0008615]	FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733]	mitochondrial intermembrane space [GO:0005758]	7896706; 8091864; 7813418; 24374639; 17322287; 12872131; 22984289	
P07267	CARP_YEAST	PEP4	Saccharopepsin (EC 3.4.23.25) (Aspartate protease) (PrA) (Proteinase A) (Carboxypeptidase Y-deficient protein 4) (Proteinase YSCA)	405		autophagy [GO:0006914]; cellular response to starvation [GO:0009267]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; lysosomal microautophagy [GO:0016237]; macroautophagy [GO:0016236]; pexophagy [GO:0000425]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; vacuolar protein processing [GO:0006624]	aspartic-type endopeptidase activity [GO:0004190]; disordered domain specific binding [GO:0097718]; oligosaccharide binding [GO:0070492]; peptidase activity [GO:0008233]	endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]	3537721; 3023936; 8948103; 9169875; 24374639; 1618910; 8840499; 1959673; 9135120	
P16861	PFKA1_YEAST	PFK1	ATP-dependent 6-phosphofructokinase subunit alpha (EC 2.7.1.11) (ATP-dependent 6-phosphofructokinase) (ATP-PFK) (Phosphofructokinase 1) (Phosphohexokinase)	987		canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; glycolytic process [GO:0006096]; proton transmembrane transport [GO:1902600]; regulation of intracellular pH [GO:0051453]	6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]	6-phosphofructokinase complex [GO:0005945]; cytoplasm [GO:0005737]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]	2528496; 9090057; 9169869; 24374639; 8701610; 8223596; 145942; 19473; 147195; 6458303; 6211191; 6219673; 3000145; 2408613; 3007939; 8132627; 8663166; 11221662; 14562106; 15665377; 16962558; 17330950; 18313953; 18407956; 19779198; 22814378; 22106047; 21241708	
P53252	PIL1_YEAST	PIL1	Sphingolipid long chain base-responsive protein PIL1	339		eisosome assembly [GO:0070941]; endocytosis [GO:0006897]; negative regulation of protein kinase activity [GO:0006469]; protein localization [GO:0008104]; protein localization to eisosome filament [GO:0097446]; response to heat [GO:0009408]	lipid binding [GO:0008289]	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; eisosome [GO:0032126]; eisosome filament [GO:0036286]; lipid droplet [GO:0005811]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]	9169869; 24374639; 14562095; 14562106; 15016821; 15665377; 17330950; 17761666; 18407956; 19779198; 22106047	
P38689	KPR3_YEAST	PRS3	Ribose-phosphate pyrophosphokinase 3 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 3)	320		5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; fungal-type cell wall organization [GO:0031505]; phosphorylation [GO:0016310]; purine nucleotide biosynthetic process [GO:0006164]; regulation of cell size [GO:0008361]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]	cytoplasm [GO:0005737]; ribose phosphate diphosphokinase complex [GO:0002189]	7992503; 8091229; 24374639; 17322287; 10212224; 10514564; 14562095; 15280369; 22814378	
P50861	RIB4_YEAST	RIB4	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	169		riboflavin biosynthetic process [GO:0009231]	6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]	cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; nucleus [GO:0005634]; riboflavin synthase complex [GO:0009349]	7559556; 9169874; 24374639; 17322287; 8969176; 14562106; 22984289; 22814378; 10860731	
P49723	RIR4_YEAST	RNR4	Ribonucleoside-diphosphate reductase small chain 2 (EC 1.17.4.1) (Ribonucleotide reductase R2 subunit 2) (Ribonucleotide reductase small subunit 2)	345		deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]	molecular adaptor activity [GO:0060090]; protein heterodimerization activity [GO:0046982]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoside-diphosphate reductase complex [GO:0005971]	9315671; 9169869; 24374639; 17322287; 10535923; 10716984; 14562106; 12732713; 17330950; 17287358; 18851834; 18407956; 19779198; 22814378; 22106047; 11526233; 15196016	
Q01080	RPA49_YEAST	RPA49	DNA-directed RNA polymerase I subunit RPA49 (A49) (DNA-directed RNA polymerase I 49 kDa polypeptide)	415		nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; regulation of cell size [GO:0008361]; ribosome biogenesis [GO:0042254]; RNA polymerase I preinitiation complex assembly [GO:0001188]; termination of RNA polymerase I transcription [GO:0006363]; transcription by RNA polymerase I [GO:0006360]; transcription elongation by RNA polymerase I [GO:0006362]; transcription initiation at RNA polymerase I promoter [GO:0006361]	DNA binding [GO:0003677]; RNA polymerase I activity [GO:0001054]	nucleolus [GO:0005730]; nucleus [GO:0005634]; RNA polymerase I complex [GO:0005736]	1409638; 9234673; 9169873; 24374639; 17322287; 11717393; 18407956; 19779198; 12145213; 12407181; 14562095; 18160037; 20797630; 24153184; 24153182	
P08518	RPB2_YEAST	RPB2	DNA-directed RNA polymerase II subunit RPB2 (RNA polymerase II subunit 2) (EC 2.7.7.6) (B150) (DNA-directed RNA polymerase II 140 kDa polypeptide)	1224		RNA-templated transcription [GO:0001172]; transcription by RNA polymerase II [GO:0006366]; transcription elongation by RNA polymerase II promoter [GO:0006368]; transcription initiation at RNA polymerase II promoter [GO:0006367]	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; ribonucleoside binding [GO:0032549]	cytoplasmic stress granule [GO:0010494]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]	3547406; 9046089; 9169874; 24374639; 12748053; 2204624; 17330950; 18407956; 19779198; 14580350; 14562106; 15565157; 11313498; 11313499; 11805306; 12914699; 12746495; 12746498; 15537538; 15610738; 14963322; 15591044; 16341226; 16765890	
P0CX53	RL12A_YEAST	RPL12A	60S ribosomal protein L12-A (L15) (Large ribosomal subunit protein uL11-A) (YL23)	165		cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]	2167467; 9169868; 24374639; 17322287; 17005568; 18782943; 9559554; 11856739; 11983894; 14562095; 14562106; 18957409; 18407956; 19779198; 20481588; 22096102; 22106047; 24524803; 11701127; 14976550; 21109664	
P0CX54	RL12B_YEAST	RPL12B	60S ribosomal protein L12-B (L15) (Large ribosomal subunit protein uL11-B) (YL23)	165		cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; large ribosomal subunit [GO:0015934]	2167467; 9169867; 24374639; 17005568; 18782943; 9559554; 11856739; 11983894; 14562095; 14562106; 18957409; 18407956; 19779198; 20481588; 22096102; 22106047; 24524803	
P14126	RL3_YEAST	RPL3	60S ribosomal protein L3 (Large ribosomal subunit protein uL3) (Maintenance of killer protein 8) (RP1) (Trichodermin resistance protein) (YL1)	387		cytoplasmic translation [GO:0002181]; maintenance of translational fidelity [GO:1990145]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]; translation [GO:0006412]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	6305925; 9133743; 9169874; 24374639; 6355773; 1544921; 9559554; 14562095; 14562106; 17330950; 17287358; 18407956; 19779198; 20864530; 22106047; 24524803; 24865971; 26826131; 11701127; 14976550; 21109664; 22096102	
P05745	RL36A_YEAST	RPL36A	60S ribosomal protein L36-A (L39) (Large ribosomal subunit protein eL36-A) (YL39)	100		cytoplasmic translation [GO:0002181]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	9169872; 24374639; 9559554; 10601260; 14562095; 14562106; 24524803; 21109664; 22096102	
P0CX27	RL44A_YEAST	RPL42A	60S ribosomal protein L42-A (L41) (Large ribosomal subunit protein eL42-A) (YL27) (YP44)	106		cytoplasmic translation [GO:0002181]; response to antibiotic [GO:0046677]; response to cycloheximide [GO:0046898]	structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	1729213; 8686380; 9169873; 24374639; 365584; 9559554; 11983894; 14562095; 14562106; 18957409; 22522802; 24524803; 24517342; 11701127; 14976550; 21109664; 22096102	
P0CX28	RL44B_YEAST	RPL42B	60S ribosomal protein L42-B (L41) (Large ribosomal subunit protein eL42-B) (Maintenance of killer protein 18) (YL27) (YP44)	106		cytoplasmic translation [GO:0002181]; response to antibiotic [GO:0046677]; response to cycloheximide [GO:0046898]	structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	1729213; 8091229; 24374639; 365584; 7751301; 9559554; 11983894; 14562095; 14562106; 18957409; 22096102; 22522802; 24524803; 24517342	
P05737	RL7A_YEAST	RPL7A	60S ribosomal protein L7-A (L6) (Large ribosomal subunit protein uL30-A) (RP11) (YL8)	244		cytoplasmic translation [GO:0002181]; maturation of LSU-rRNA [GO:0000470]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit biogenesis [GO:0042273]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]	1549461; 9290212; 9169869; 24374639; 18782943; 1544921; 9559554; 10601260; 14562095; 14562106; 22814378; 24524803; 11701127; 14976550; 21109664; 22096102	
Q12213	RL7B_YEAST	RPL7B	60S ribosomal protein L7-B (L6) (Large ribosomal subunit protein uL30-B) (RP11) (YL8)	244		cytoplasmic translation [GO:0002181]; maturation of LSU-rRNA [GO:0000470]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit biogenesis [GO:0042273]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]	8536309; 9169875; 24374639; 9559554; 14562095; 14562106; 22096102; 24524803	
P38764	RPN1_YEAST	RPN1	26S proteasome regulatory subunit RPN1 (HMG-CoA reductase degradation protein 2) (Proteasome non-ATPase subunit 1)	993		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]	enzyme regulator activity [GO:0030234]; protein-macromolecule adaptor activity [GO:0030674]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; proteasome storage granule [GO:0034515]	8091229; 24374639; 12504901; 9584156; 14562106; 17330950; 17287358; 18407956; 19779198	
P32565	RPN2_YEAST	RPN2	26S proteasome regulatory subunit RPN2	945		proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]	enzyme regulator activity [GO:0030234]; ubiquitin protein ligase binding [GO:0031625]	nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]; proteasome storage granule [GO:0034515]	7565784; 9169870; 24374639; 12504901; 9584156; 10688918; 14562106; 18407956; 22814378; 22927375	
P05317	RLA0_YEAST	RPP0	60S acidic ribosomal protein P0 (A0) (L10e) (Large ribosomal subunit protein uL10)	312		cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; cytosolic large ribosomal subunit [GO:0022625]	3287327; 2681177; 2404943; 2188966; 9169871; 24374639; 9559554; 9843429; 15286401; 16573688; 17330950; 18407956; 19779198; 22106047; 24524803; 21109664; 22096102	
P05319	RLA2_YEAST	RPP2A	60S acidic ribosomal protein P2-alpha (A2) (L12eIB) (L44) (Large ribosomal subunit protein P2-A) (P2A) (YP2alpha)	106		cytoplasmic translation [GO:0002181]; cytoplasmic translational elongation [GO:0002182]	protein kinase activator activity [GO:0030295]; structural constituent of ribosome [GO:0003735]	cytosolic large ribosomal subunit [GO:0022625]	3287329; 2837476; 2404943; 9169874; 24374639; 17322287; 8476850; 9559554; 10525165; 10601260; 11431471; 14562095; 14562106; 16573688; 17330950; 18407956; 19779198; 22096102; 22106047; 24524803	
P46784	RS10B_YEAST	RPS10B	40S ribosomal protein S10-B (Small ribosomal subunit protein eS10-B)	105		cellular response to amino acid starvation [GO:0034198]; cytoplasmic translation [GO:0002181]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of protein phosphorylation [GO:0001934]; rRNA export from nucleus [GO:0006407]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]	9169872; 24374639; 9559554; 10601260; 14562095; 14562106; 22096102; 22814378; 24524803; 25437641	
P06367	RS14A_YEAST	RPS14A	40S ribosomal protein S14-A (RP59A) (Small ribosomal subunit protein uS11-A)	137		cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]	90S preribosome [GO:0030686]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]	3037334; 1574125; 24374639; 1544921; 9559554; 10601260; 14562106; 15590835; 22814378; 24524803; 11701127; 14976550; 21109664; 22096102	
P39516	RS14B_YEAST	RPS14B	40S ribosomal protein S14-B (RP59B) (Small ribosomal subunit protein uS11-B)	138		cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]	8293976; 7754713; 8641269; 24374639; 9559554; 14562095; 14562106; 15590835; 22096102; 22814378; 24524803	
P38701	RS20_YEAST	RPS20	40S ribosomal protein S20 (Small ribosomal subunit protein uS10)	121		cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; small ribosomal subunit [GO:0015935]	8021936; 8091229; 24374639; 9559554; 10601260; 12872131; 14557538; 22814378; 22106047; 24524803; 28757607; 11701127; 14976550; 21109664; 22096102	
P35997	RS27A_YEAST	RPS27A	40S ribosomal protein S27-A (RP61) (Small ribosomal subunit protein eS27-A) (YS20)	82		cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit assembly [GO:0000028]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]	8091859; 8196765; 24374639; 9559554; 10601260; 14562095; 14562106; 22650761; 24524803; 20980660; 22096102; 24200810	
P38711	RS27B_YEAST	RPS27B	40S ribosomal protein S27-B (RP61) (Small ribosomal subunit protein eS27-B) (YS20)	82		cytoplasmic translation [GO:0002181]; endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000479]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit assembly [GO:0000028]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]	8091229; 24374639; 9559554; 10601260; 14562095; 22096102; 24524803	
P0CX33	RS30A_YEAST	RPS30A	40S ribosomal protein S30-A (Small ribosomal subunit protein eS30-A)	63		cytoplasmic translation [GO:0002181]	structural constituent of ribosome [GO:0003735]	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]	8662789; 9169871; 24374639; 9559554; 10601260; 14562095; 14562106; 17287358; 22814378; 24524803; 22096102	
P0CX34	RS30B_YEAST	RPS30B	40S ribosomal protein S30-B (Small ribosomal subunit protein eS30-B)	63		cytoplasmic translation [GO:0002181]	structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]	8662789; 9169874; 24374639; 9559554; 10601260; 14562095; 14562106; 17287358; 22096102; 22814378; 24524803	
P26786	RS7A_YEAST	RPS7A	40S ribosomal protein S7-A (RP30) (RP40) (Small ribosomal subunit protein eS7-A)	190		cytoplasmic translation [GO:0002181]; ribosomal small subunit biogenesis [GO:0042274]; ribosome biogenesis [GO:0042254]; rRNA processing [GO:0006364]	structural constituent of ribosome [GO:0003735]	90S preribosome [GO:0030686]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]	9200815; 9169874; 24374639; 1544921; 9559554; 10601260; 14562095; 14562106; 15590835; 18407956; 22106047; 24524803; 22096102	
P33298	PRS6B_YEAST	RPT3	26S proteasome regulatory subunit 6B homolog (Protein YNT1) (Tat-binding homolog 2)	428		positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; proteasome regulatory particle assembly [GO:0070682]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; proteasome-activating activity [GO:0036402]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]	7754704; 7803857; 9169867; 24374639; 12504901; 22106047; 22927375	
P33297	PRS6A_YEAST	RPT5	26S proteasome regulatory subunit 6A (Tat-binding protein homolog 1) (TBP-1)	434		positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; proteasome regulatory particle assembly [GO:0070682]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proteasome-activating activity [GO:0036402]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]	7754704; 8904341; 9200815; 9169874; 24374639; 12504901; 18407956; 19779198; 22814378; 22927375	
P10659	METK1_YEAST	SAM1	S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1)	382		methionine metabolic process [GO:0006555]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine adenosyltransferase activity [GO:0004478]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]	3316224; 9169871; 24374639; 8935650; 14562106	
P07283	PMM_YEAST	SEC53	Phosphomannomutase (PMM) (EC 5.4.2.8) (Asparagine-linked glycosylation protein 4)	254		GDP-mannose biosynthetic process [GO:0009298]; mannose metabolic process [GO:0006013]; protein N-linked glycosylation [GO:0006487]	metal ion binding [GO:0046872]; phosphomannomutase activity [GO:0004615]	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]	3905826; 15087486; 7670463; 24374639; 17322287; 7037780; 3288631; 14562106; 17330950; 19779198	
P33330	SERC_YEAST	SER1	Phosphoserine aminotransferase (PSAT) (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	395		L-serine biosynthetic process [GO:0006564]; purine nucleobase biosynthetic process [GO:0009113]; serine family amino acid biosynthetic process [GO:0009070]	O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]	8017107; 7553933; 9169874; 24374639; 14562106; 18407956; 19779198	
P47008	SFH5_YEAST	SFH5	Phosphatidylinositol transfer protein SFH5 (PITP SFH5) (SEC14 homolog 5)	294		Golgi to plasma membrane protein transport [GO:0043001]; phosphatidylinositol metabolic process [GO:0046488]; phospholipid transport [GO:0015914]; regulation of establishment of cell polarity [GO:2000114]; regulation of exocytosis [GO:0017157]	metal ion binding [GO:0046872]; phosphatidylinositol transfer activity [GO:0008526]	cell periphery [GO:0071944]; cortical endoplasmic reticulum [GO:0032541]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole membrane [GO:0000329]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	8813765; 8641269; 24374639; 17322287; 10848624; 12869188; 14562095; 14562106; 16709158; 32780017	
P37292	GLYM_YEAST	SHM1	Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)	490		folic acid metabolic process [GO:0046655]; glycine biosynthetic process from serine [GO:0019264]; L-serine catabolic process [GO:0006565]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate interconversion [GO:0035999]; tetrahydrofolate metabolic process [GO:0046653]	glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]; serine binding [GO:0070905]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]	8132653; 8465606; 7813418; 24374639; 14562106; 18086883	
P00445	SODC_YEAST	SOD1	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	154		cellular copper ion homeostasis [GO:0006878]; cellular zinc ion homeostasis [GO:0006882]; fungal-type cell wall organization [GO:0031505]; negative regulation of cellular respiration [GO:1901856]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein maturation by copper ion transfer [GO:0015680]; protein stabilization [GO:0050821]; removal of superoxide radicals [GO:0019430]; superoxide metabolic process [GO:0006801]	copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; superoxide dismutase complex [GO:1902693]	3290902; 8641269; 24374639; 17322287; 6993479; 11500508; 14562106; 15166219; 15069187; 16234242; 15665377; 17287358; 18407956; 19779198; 22984289; 1772629; 1602482; 8652572; 10026301; 11524675	
P32589	HSP7F_YEAST	SSE1	Heat shock protein homolog SSE1 (Chaperone protein MSI3)	693		autophagy [GO:0006914]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein folding [GO:0006457]; protein refolding [GO:0042026]	adenyl-nucleotide exchange factor activity [GO:0000774]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; calmodulin binding [GO:0005516]; peptide binding [GO:0042277]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; polysome [GO:0005844]	8406043; 8413180; 9169875; 24374639; 7895733; 8935650; 9298649; 14562095; 14562106; 17287358; 18407956; 22106047	
P38353	SSH1_YEAST	SSH1	Sec sixty-one protein homolog (Ssh1 complex subunit SSH1) (Ssh1 complex subunit alpha)	490		post-translational protein targeting to membrane, translocation [GO:0031204]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]	protein transmembrane transporter activity [GO:0008320]; ribosome binding [GO:0043022]; signal sequence binding [GO:0005048]	endoplasmic reticulum [GO:0005783]; Sec61 translocon complex [GO:0005784]; Ssh1 translocon complex [GO:0071261]	8612571; 8091861; 7813418; 24374639; 17322287; 1764528; 11702951; 10775273; 14562106; 16847258	
P35179	SC61G_YEAST	SSS1	Protein transport protein SSS1 (Sec61 complex subunit SSS1) (Sec61 complex subunit gamma) (Ssh1 complex subunit SSS1) (Ssh1 complex subunit gamma)	80		post-translational protein targeting to membrane, translocation [GO:0031204]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]	protein transmembrane transporter activity [GO:0008320]; structural molecule activity [GO:0005198]	endoplasmic reticulum [GO:0005783]; nuclear inner membrane [GO:0005637]; rough endoplasmic reticulum membrane [GO:0030867]; Sec61 translocon complex [GO:0005784]; Ssh1 translocon complex [GO:0071261]; translocon complex [GO:0071256]	8223425; 9169867; 24374639; 17322287; 8929540; 9160745; 10611978; 10775273; 14562095; 15831493	
P15019	TAL1_YEAST	TAL1	Transaldolase (EC 2.2.1.2)	335		carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	transaldolase activity [GO:0004801]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	2185015; 9169871; 24374639; 3027658; 8109173; 9298649; 14562106	
P16120	THRC_YEAST	THR4	Threonine synthase (TS) (EC 4.2.3.1)	514		threonine biosynthetic process [GO:0009088]	pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	2408022; 2204248; 1574125; 24374639; 17322287; 14562106; 18407956; 22814378	
