Gene Name	Protein Domain	Protein domain description	Protein start location	Protein End location	Method	Domain ID
MTG2	PF01018	GTP1/OBG; GTP1/OBG domain	92	184	Pfam	2119113
MTG2	PF01018	GTP1/OBG; GTP1/OBG domain	286	337	Pfam	2119114
MTG2	PF01926	50S ribosome-binding GTPase; GTP binding domain	342	461	Pfam	2119115
MTH1	PF17235	STD1/MTH1; Std1/Mth1	123	333	Pfam	2116288
MTL1	PF04478	Mid2 like cell wall stress sensor; Mid2 domain	317	466	Pfam	2124568
MTM1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	13	148	Pfam	2124814
MTM1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	156	251	Pfam	2124815
MTM1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	265	362	Pfam	2124816
MTO1	PF01134	Glucose inhibited division protein A; MnmG, N-terminal domain	38	436	Pfam	2124208
MTO1	PF13932	GidA associated domain; GidA associated domain 3	442	657	Pfam	2124209
MTQ1	PF05175	Methyltransferase small domain; Methyltransferase small domain	113	202	Pfam	2125593
MTQ2	PF05175	Methyltransferase small domain; Methyltransferase small domain	37	125	Pfam	2127350
MTR10	PF08389	Exportin 1-like protein; Exportin-1/Importin-beta-like	100	253	Pfam	2131723
MTR2	PF10429	Nuclear pore RNA shuttling protein Mtr2; Nuclear pore RNA shuttling protein Mtr2	13	184	Pfam	2116053
MTR3	PF01138	3' exoribonuclease family, domain 1; Exoribonuclease, phosphorolytic domain 1	44	186	Pfam	2123477
MTR4	PF00270	DEAD/DEAH box helicase; DEAD/DEAH box helicase domain	152	299	Pfam	2123017
MTR4	PF00271	Helicase conserved C-terminal domain; Helicase, C-terminal	441	548	Pfam	2123018
MTR4	PF08148	DSHCT (NUC185) domain; ATP-dependent RNA helicase Ski2, C-terminal	899	1067	Pfam	2123019
MTR4	PF13234	rRNA-processing arch domain; rRNA-processing arch domain	602	871	Pfam	2123020
MTW1	PF05859	Mis12 protein; Centromere protein Mis12	11	144	Pfam	2120120
MUB1	PF01753	MYND finger; Zinc finger, MYND-type	516	555	Pfam	2126804
MUD1	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	229	290	Pfam	2114765
MUK1	PF02204	Vacuolar sorting protein 9 (VPS9) domain; VPS9 domain	316	409	Pfam	2126605
MUM2	PF17098	WTAP/Mum2p family; WTAP/Mum2 family	189	362	Pfam	2089112
MUP1	PF13520	Amino acid permease; Amino acid/polyamine transporter I	61	497	Pfam	2123846
MUP3	PF13520	Amino acid permease; Amino acid/polyamine transporter I	65	499	Pfam	2095691
MUS81	PF02732	ERCC4 domain; ERCC4 domain	354	489	Pfam	2127479
MVB12	PF09452	ESCRT-I subunit Mvb12; Multivesicular body sorting factor 12	9	98	Pfam	2122247
MVD1	PF00288	GHMP kinases N terminal domain; GHMP kinase N-terminal domain	105	163	Pfam	2114053
MVD1	PF18376	Mevalonate 5-diphosphate decarboxylase C-terminal domain; Mvd1, C-terminal	195	380	Pfam	2102697
MVP1	PF00787	PX domain; Phox homology	161	242	Pfam	2100529
MXR1	PF01625	Peptide methionine sulfoxide reductase; Peptide methionine sulphoxide reductase MsrA	19	175	Pfam	2120627
MXR2	PF01641	SelR domain; Peptide methionine sulphoxide reductase MrsB	42	166	Pfam	2112634
MYG1	PF03690	Uncharacterised protein family (UPF0160); Metal-dependent protein hydrolase	16	337	Pfam	2120830
MYO1	PF00063	Myosin head (motor domain); Myosin head, motor domain	77	779	Pfam	2108041
MYO2	PF00063	Myosin head (motor domain); Myosin head, motor domain	72	769	Pfam	2110800
MYO2	PF01843	DIL domain; Dilute domain	1383	1481	Pfam	2110801
MYO3	PF00018	SH3 domain; SH3 domain	1127	1174	Pfam	2116482
MYO3	PF00063	Myosin head (motor domain); Myosin head, motor domain	39	702	Pfam	2116483
MYO3	PF06017	Unconventional myosin tail, actin- and lipid-binding; Class I myosin tail homology domain	760	955	Pfam	2116484
MYO4	PF00063	Myosin head (motor domain); Myosin head, motor domain	73	765	Pfam	2114352
MYO4	PF00612	IQ calmodulin-binding motif; IQ motif, EF-hand binding site	901	919	Pfam	2114353
MYO4	PF01843	DIL domain; Dilute domain	1299	1398	Pfam	2114354
MYO5	PF00018	SH3 domain; SH3 domain	1092	1139	Pfam	2127741
MYO5	PF00063	Myosin head (motor domain); Myosin head, motor domain	39	702	Pfam	2127742
MYO5	PF06017	Unconventional myosin tail, actin- and lipid-binding; Class I myosin tail homology domain	760	955	Pfam	2127743
NAB2	PF11517	Nuclear abundant poly(A) RNA-bind protein 2 (Nab2); Nuclear abundant poly(A) RNA-binding protein Nab2, N-terminal	1	98	Pfam	2094204
NAB2	PF14608	RNA-binding, Nab2-type zinc finger	340	356	Pfam	2114408
NAB2	PF14608	RNA-binding, Nab2-type zinc finger	414	431	Pfam	2094203
NAB2	PF14608	RNA-binding, Nab2-type zinc finger	437	453	Pfam	2114409
NAB2	PF14608	RNA-binding, Nab2-type zinc finger	457	474	Pfam	2114410
NAB2	PF18260	Nuclear polyadenylated RNA-binding 2 protein CCCH zinc finger 1; Nuclear polyadenylated RNA-binding 2 protein, CCCH zinc finger 1	252	278	Pfam	2094196
NAB3	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	332	388	Pfam	2104400
NAB6	PF10378	Putative RRM domain; RNA-binding domain, putative	60	104	Pfam	2100299
NAB6	PF10567	RNA-recognition motif; mRNA-binding domain	199	560	Pfam	2127198
NAF1	PF04410	Gar1/Naf1 RNA binding region; H/ACA ribonucleoprotein complex, subunit Gar1/Naf1	122	270	Pfam	2125514
NAM2	PF00133	tRNA synthetases class I (I, L, M and V); Aminoacyl-tRNA synthetase, class Ia	441	601	Pfam	2109138
NAM2	PF09334	tRNA synthetases class I (M); Methionyl/Leucyl tRNA synthetase	50	187	Pfam	2109139
NAM2	PF13603	Leucyl-tRNA synthetase, Domain 2; Leucyl-tRNA synthetase, editing domain	236	380	Pfam	2099367
NAM7	PF09416	RNA helicase (UPF2 interacting domain); RNA helicase UPF1, UPF2-interacting domain	61	208	Pfam	2113570
NAM7	PF13086	AAA domain; DNA2/NAM7 helicase, helicase domain	408	509	Pfam	2101286
NAM7	PF13086	AAA domain; DNA2/NAM7 helicase, helicase domain	518	608	Pfam	2101287
NAM7	PF13087	AAA domain; DNA2/NAM7 helicase-like, C-terminal	616	812	Pfam	2113571
NAM7	PF18141	Domain of unknown function (DUF5599); Domain of unknown function DUF5599	260	352	Pfam	2101285
NAM8	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	165	236	Pfam	2126077
NAM8	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	315	378	Pfam	2126078
NAM9	PF01479	S4 domain; RNA-binding S4 domain	104	149	Pfam	2113138
NAN1	PF00400	WD domain, G-beta repeat; WD40 repeat	291	324	Pfam	2126647
NAP1	PF00956	Nucleosome assembly protein (NAP); Nucleosome assembly protein (NAP)	96	362	Pfam	2112194
NAR1	PF02906	Iron only hydrogenase large subunit, C-terminal domain; Iron hydrogenase, large subunit, C-terminal	96	420	Pfam	2111805
NAS2	PF00595	PDZ domain; PDZ domain	105	189	Pfam	2121493
NAS2	PF18265	Nas2 N_terminal domain; Nas2, N-terminal	31	109	Pfam	2096310
NAS6	PF12796	Ankyrin repeats (3 copies); Ankyrin repeat-containing domain	68	137	Pfam	2123747
NAS6	PF12796	Ankyrin repeats (3 copies); Ankyrin repeat-containing domain	139	204	Pfam	2123748
NAT1	PF12569	NMDA receptor-regulated protein 1; N-terminal acetyltransferase A, auxiliary subunit	199	510	Pfam	2109465
NAT1	PF12569	NMDA receptor-regulated protein 1; N-terminal acetyltransferase A, auxiliary subunit	548	736	Pfam	2109466
NAT2	PF06916	Protein of unknown function (DUF1279); Domain of unknown function DUF1279	92	222	Pfam	2117165
NAT3	PF00583	GNAT domain	55	134	Pfam	2128879
NAT4	PF00583	GNAT domain	141	245	Pfam	2127957
NAT5	PF00583	GNAT domain	51	131	Pfam	2129749
NBP1	PF08537	Fungal Nap binding protein NBP1; Nap binding NBP1, fungi	1	319	Pfam	2124043
NBP2	PF00018	SH3 domain; SH3 domain	116	162	Pfam	2130452
NBP35	PF10609	NUBPL iron-transfer P-loop NTPase; Flagellum site-determining protein YlxH/ Fe-S cluster assembling factor NBP35	71	321	Pfam	2124046
NCA2	PF08637	ATP synthase regulation protein NCA2; Nuclear control of ATP synthase 2	329	610	Pfam	2130993
NCA3	PF03856	Beta-glucosidase (SUN family); SUN family	83	325	Pfam	2122773
NCB2	PF00808	Histone-like transcription factor (CBF/NF-Y) and archaeal histone; Transcription factor CBF/NF-Y/archaeal histone domain	9	73	Pfam	2131681
NCE101	PF11654	Non-classical export protein 1; Non-classical export protein 1	7	50	Pfam	2126575
NCE102	PF01284	Membrane-associating domain; Marvel domain	6	139	Pfam	2130572
NCE103	PF00484	Carbonic anhydrase; Carbonic anhydrase	52	208	Pfam	2125010
NCL1	PF01189	16S rRNA methyltransferase RsmB/F; SAM-dependent methyltransferase RsmB/NOP2-type	159	408	Pfam	2117849
NCP1	PF00175	Oxidoreductase NAD-binding domain; Oxidoreductase FAD/NAD(P)-binding	538	655	Pfam	2110275
NCP1	PF00258	Flavodoxin; Flavodoxin/nitric oxide synthase	63	199	Pfam	2110276
NCP1	PF00667	FAD binding domain; Sulfite reductase [NADPH] flavoprotein alpha-component-like, FAD-binding	262	480	Pfam	2110277
NCR1	PF02460	Patched family; Protein patched/dispatched	372	1156	Pfam	2130559
NCR1	PF16414	Niemann-Pick C1 N terminus; Niemann-Pick C1, N-terminal	21	257	Pfam	2130560
NCS2	PF10288	Cytoplasmic tRNA 2-thiolation protein 2; Cytoplasmic tRNA 2-thiolation protein 2	323	445	Pfam	2125533
NCS6	PF01171	PP-loop family; tRNA(Ile)-lysidine/2-thiocytidine synthase, N-terminal	69	251	Pfam	2094340
NCS6	PF16503	Zinc-ribbon; Cytoplasmic tRNA 2-thiolation protein 1, C-terminal	306	337	Pfam	2124251
NDC1	PF09531	Nucleoporin protein Ndc1-Nup; Nucleoporin protein Ndc1-Nup	21	640	Pfam	2114397
NDC80	PF03801	HEC/Ndc80p family; Kinetochore protein Ndc80	104	238	Pfam	2096523
NDC80	PF18077	Domain of unknown function (DUF5595); Domain of unknown function DUF5595	269	335	Pfam	2096524
NDE1	PF07992	Pyridine nucleotide-disulphide oxidoreductase; FAD/NAD(P)-binding domain	114	443	Pfam	2120933
NDE2	PF07992	Pyridine nucleotide-disulphide oxidoreductase; FAD/NAD(P)-binding domain	99	428	Pfam	2129223
NDI1	PF07992	Pyridine nucleotide-disulphide oxidoreductase; FAD/NAD(P)-binding domain	55	400	Pfam	2113957
NDT80	PF05224	NDT80 / PhoG like DNA-binding  family; NDT80 DNA-binding domain	105	333	Pfam	2119047
NEJ1	PF09302	XLF-Cernunnos, XRcc4-like factor, NHEJ component; XLF family	14	179	Pfam	2128580
NEL1	PF04811	Sec23/Sec24 trunk domain; Sec23/Sec24, trunk domain	178	331	Pfam	2118785
NEM1	PF03031	NLI interacting factor-like phosphatase; FCP1 homology domain	252	431	Pfam	2118744
NEO1	PF00122	E1-E2 ATPase	262	469	Pfam	2096199
NEO1	PF13246	Cation transport ATPase (P-type)	575	671	Pfam	2096206
NEO1	PF16209	Phospholipid-translocating ATPase N-terminal; P-type ATPase, N-terminal	167	216	Pfam	2096200
NEO1	PF16212	Phospholipid-translocating P-type ATPase C-terminal; P-type ATPase, C-terminal	909	1139	Pfam	2121421
NET1	PF10407	Cdc14 phosphatase binding protein N-terminus; Nucleolar protein Dnt1-like, N-terminal	72	142	Pfam	2122961
NEW1	PF00005	ABC transporter; ABC transporter-like	587	716	Pfam	2129990
NEW1	PF00005	ABC transporter; ABC transporter-like	829	1061	Pfam	2129991
NEW1	PF00385	Chromo (CHRromatin Organisation MOdifier) domain; Chromo domain	943	994	Pfam	2129992
NFI1	PF02037	SAP domain; SAP domain	44	77	Pfam	2130590
NFI1	PF02891	MIZ/SP-RING zinc finger; Zinc finger, MIZ-type	334	382	Pfam	2130591
NFI1	PF14324	PINIT domain; PINIT domain	155	289	Pfam	2130592
NFS1	PF00266	Aminotransferase class-V; Aminotransferase class V domain	100	462	Pfam	2112463
NFT1	PF00005	ABC transporter; ABC transporter-like	669	819	Pfam	2108396
NFT1	PF00664	ABC transporter transmembrane region; ABC transporter type 1, transmembrane domain	437	609	Pfam	2108397
NFT1	PF00664	ABC transporter transmembrane region; ABC transporter type 1, transmembrane domain	962	1207	Pfam	2108398
NFU1	PF01106	NifU-like domain; NIF system FeS cluster assembly, NifU, C-terminal	157	225	Pfam	2115205
NFU1	PF08712	Scaffold protein Nfu/NifU N terminal; Scaffold protein Nfu/NifU, N-terminal	24	115	Pfam	2115206
NGG1	PF10198	Histone acetyltransferases subunit 3; Histone acetyltransferases subunit 3	506	649	Pfam	2114372
NGL1	PF03372	Endonuclease/Exonuclease/phosphatase family; Endonuclease/exonuclease/phosphatase	30	353	Pfam	2129569
NGL2	PF03372	Endonuclease/Exonuclease/phosphatase family; Endonuclease/exonuclease/phosphatase	115	457	Pfam	2101487
NGL3	PF03372	Endonuclease/Exonuclease/phosphatase family; Endonuclease/exonuclease/phosphatase	112	437	Pfam	2100280
NGR1	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	194	265	Pfam	2115110
NGR1	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	362	426	Pfam	2115111
NHA1	PF00999	Sodium/hydrogen exchanger family; Cation/H+ exchanger	21	438	Pfam	2131784
NHA1	PF08619	Alkali metal cation/H+ antiporter Nha1 C terminus; Alkali metal cation/H+ antiporter Nha1, C-terminal	466	848	Pfam	2100636
NHA1	PF08619	Alkali metal cation/H+ antiporter Nha1 C terminus; Alkali metal cation/H+ antiporter Nha1, C-terminal	901	944	Pfam	2100637
NHP10	PF00505	HMG (high mobility group) box; High mobility group box domain	94	158	Pfam	2127025
NHP2	PF01248	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family; Ribosomal protein L7Ae/L30e/S12e/Gadd45	42	132	Pfam	2114374
NHP6A	PF00505	HMG (high mobility group) box; High mobility group box domain	21	89	Pfam	2109212
NHP6B	PF00505	HMG (high mobility group) box; High mobility group box domain	27	95	Pfam	2109216
NHX1	PF00999	Sodium/hydrogen exchanger family; Cation/H+ exchanger	69	484	Pfam	2127472
NIC96	PF04097	Nup93/Nic96; Nucleoporin interacting component Nup93/Nic96	250	825	Pfam	2093465
NIF3	PF01784	NIF3 (NGG1p interacting factor 3); GTP cyclohydrolase 1 type 2/Nif3	13	267	Pfam	2124234
NIP1	PF01399	PCI domain; Proteasome component (PCI) domain	651	780	Pfam	2114387
NIP1	PF05470	Eukaryotic translation initiation factor 3 subunit 8 N-terminus; Eukaryotic translation initiation factor 3 subunit C, N-terminal domain	93	243	Pfam	2114388
NIP1	PF05470	Eukaryotic translation initiation factor 3 subunit 8 N-terminus; Eukaryotic translation initiation factor 3 subunit C, N-terminal domain	243	639	Pfam	2114389
NIP100	PF01302	CAP-Gly domain; CAP Gly-rich domain	24	86	Pfam	2104678
NIP7	PF03657	UPF0113 PUA domain; UPF0113, PUA domain	96	175	Pfam	2104830
NIP7	PF17833	UPF0113 Pre-PUA domain; UPF0113, pre-PUA domain	2	83	Pfam	2104828
NIT1	PF00795	Carbon-nitrogen hydrolase; Carbon-nitrogen hydrolase	6	191	Pfam	2121187
NIT2	PF00795	Carbon-nitrogen hydrolase; Carbon-nitrogen hydrolase	7	292	Pfam	2122890
NIT3	PF00795	Carbon-nitrogen hydrolase; Carbon-nitrogen hydrolase	12	272	Pfam	2123690
NKP2	PF09447	Cnl2/NKP2 family protein; Kinetochore subunit Nkp2/Cnl2	4	65	Pfam	2128604
NMA1	PF01467	Cytidylyltransferase-like; Cytidyltransferase-like domain	169	359	Pfam	2128619
NMA111	PF00595	PDZ domain; PDZ domain	291	375	Pfam	2125516
NMA111	PF12812	PDZ-like domain; PDZ-like domain	392	469	Pfam	2125517
NMA111	PF12812	PDZ-like domain; PDZ-like domain	869	944	Pfam	2125518
NMA111	PF13365	Trypsin-like peptidase domain	104	250	Pfam	2125519
NMA2	PF01467	Cytidylyltransferase-like; Cytidyltransferase-like domain	163	353	Pfam	2124554
NMD2	PF02854	MIF4G domain; MIF4G-like, type 3	35	241	Pfam	2118881
NMD2	PF02854	MIF4G domain; MIF4G-like, type 3	377	557	Pfam	2094802
NMD2	PF02854	MIF4G domain; MIF4G-like, type 3	579	817	Pfam	2118882
NMD2	PF04050	Up-frameshift suppressor 2; Up-frameshift suppressor 2, C-terminal	961	1085	Pfam	2118883
NMD3	PF04981	NMD3 family; Nmd3, N-terminal	19	248	Pfam	2119124
NMD5	PF03810	Importin-beta N-terminal domain; Importin-beta, N-terminal domain	24	104	Pfam	2122796
NMT1	PF01233	Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain; Myristoyl-CoA:protein N-myristoyltransferase, N-terminal	58	217	Pfam	2109796
NMT1	PF02799	Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain; Myristoyl-CoA:protein N-myristoyltransferase, C-terminal	231	453	Pfam	2109797
NNF1	PF03980	Nnf1; Nuclear MIS12/MIND complex subunit PMF1/Nnf1	50	155	Pfam	2098899
NNK1	PF00069	Protein kinase domain; Protein kinase domain	452	615	Pfam	2116465
NNR1	PF03853	YjeF-related protein N-terminus; YjeF N-terminal domain	29	204	Pfam	2120896
NNR2	PF01256	Carbohydrate kinase; ATP-dependent (S)-NAD(P)H-hydrate dehydratase	35	305	Pfam	2116754
NNT1	PF10294	Lysine methyltransferase; Lysine methyltransferase	60	220	Pfam	2128309
NOC2	PF03715	Noc2p family; Nucleolar complex protein 2	353	663	Pfam	2120145
NOC3	PF03914	CBF/Mak21 family; CCAAT-binding factor	473	649	Pfam	2098328
NOC3	PF07540	Nucleolar complex-associated protein; Nucleolar complex-associated protein 3, N-terminal	137	227	Pfam	2129442
NOC4	PF03914	CBF/Mak21 family; CCAAT-binding factor	317	481	Pfam	2128901
NOG1	PF06858	Nucleolar GTP-binding protein 1 (NOG1); Nucleolar GTP-binding protein 1, Rossman-fold domain	234	291	Pfam	2126628
NOG1	PF08155	NOGCT (NUC087) domain; NOG, C-terminal	396	449	Pfam	2126629
NOG1	PF17835	NOG1 N-terminal helical domain; NOG1, N-terminal helical domain	6	164	Pfam	2105415
NOG2	PF01926	50S ribosome-binding GTPase; GTP binding domain	318	384	Pfam	2102802
NOG2	PF08153	NGP1NT (NUC091) domain; Nucleolar GTP-binding protein 2, N-terminal domain	41	171	Pfam	2125165
NOP1	PF01269	Fibrillarin; Fibrillarin	88	321	Pfam	2110051
NOP10	PF04135	Nucleolar RNA-binding protein, Nop10p family; H/ACA ribonucleoprotein complex, subunit Nop10	3	52	Pfam	2131651
NOP12	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	281	347	Pfam	2129564
NOP13	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	241	311	Pfam	2125426
NOP14	PF04147	Nop14-like family; Nucleolar protein 14	49	361	Pfam	2090809
NOP14	PF04147	Nop14-like family; Nucleolar protein 14	378	793	Pfam	2131727
NOP15	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	93	162	Pfam	2125543
NOP16	PF09420	Ribosome biogenesis protein Nop16; Ribosome biogenesis protein Nop16	5	223	Pfam	2120573
NOP19	PF10863	Nucleolar protein 19; Nucleolar protein 19	1	148	Pfam	2095559
NOP2	PF01189	16S rRNA methyltransferase RsmB/F; SAM-dependent methyltransferase RsmB/NOP2-type	338	547	Pfam	2121814
NOP2	PF17125	N-terminal domain of 16S rRNA methyltransferase RsmF; Ribosomal RNA small subunit methyltransferase F, N-terminal	255	334	Pfam	2121815
NOP4	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	28	96	Pfam	2117198
NOP4	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	149	218	Pfam	2117199
NOP4	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	292	350	Pfam	2117200
NOP53	PF07767	Nop53 (60S ribosomal biogenesis); Ribosome biogenesis protein Nop53/GLTSCR2	17	423	Pfam	2130256
NOP56	PF01798	snoRNA binding domain, fibrillarin; Nop domain	180	413	Pfam	2131221
NOP56	PF08156	NOP5NT (NUC127) domain; NOP5, N-terminal	6	72	Pfam	2131222
NOP58	PF01798	snoRNA binding domain, fibrillarin; Nop domain	169	399	Pfam	2131358
NOP58	PF08156	NOP5NT (NUC127) domain; NOP5, N-terminal	3	66	Pfam	2131359
NOP7	PF06732	Pescadillo N-terminus; Pescadillo	5	270	Pfam	2124687
NOP7	PF16589	BRCT domain, a BRCA1 C-terminus domain; BRCT domain	358	448	Pfam	2124688
NOT3	PF04065	Not1 N-terminal domain, CCR4-Not complex component; CCR4-Not complex component, Not N-terminal domain	3	233	Pfam	2096196
NOT3	PF04153	NOT2 / NOT3 / NOT5 family; NOT2/NOT3/NOT5, C-terminal	689	784	Pfam	2106975
NOT5	PF04065	Not1 N-terminal domain, CCR4-Not complex component; CCR4-Not complex component, Not N-terminal domain	2	151	Pfam	2104762
NOT5	PF04065	Not1 N-terminal domain, CCR4-Not complex component; CCR4-Not complex component, Not N-terminal domain	148	212	Pfam	2104763
NOT5	PF04153	NOT2 / NOT3 / NOT5 family; NOT2/NOT3/NOT5, C-terminal	386	556	Pfam	2131400
NPA3	PF03029	Conserved hypothetical ATP binding protein; GPN-loop GTPase	8	257	Pfam	2123180
NPC2	PF02221	ML domain; MD-2-related lipid-recognition domain	43	168	Pfam	2131076
NPL3	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	127	188	Pfam	2126239
NPL3	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	202	268	Pfam	2126240
NPL4	PF05020	NPL4 family, putative zinc binding region; NPL4, zinc-binding putative	113	256	Pfam	2115876
NPL4	PF05021	NPL4 family; Nuclear pore localisation protein NPL4, C-terminal	259	577	Pfam	2115877
NPL6	PF08624	Chromatin remodelling complex Rsc7/Swp82 subunit; Chromatin-remodelling complex, RSC SWI/SNF subunit Rsc7/Swp82	122	253	Pfam	2115119
NPP1	PF01663	Type I phosphodiesterase / nucleotide pyrophosphatase; Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase	170	545	Pfam	2112392
NPP2	PF01663	Type I phosphodiesterase / nucleotide pyrophosphatase; Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase	78	437	Pfam	2120560
NPR1	PF00069	Protein kinase domain; Protein kinase domain	441	742	Pfam	2111487
NPR2	PF06218	Nitrogen permease regulator 2; Nitrogen permease regulator 2	10	523	Pfam	2091355
NPR3	PF03666	Nitrogen Permease regulator of amino acid transport activity 3; Nitrogen permease regulator 3	399	966	Pfam	2118682
NPT1	PF04095	Nicotinate phosphoribosyltransferase (NAPRTase) family; Nicotinate/nicotinamide phosphoribosyltransferase	173	415	Pfam	2103618
NPT1	PF17767	Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain; Nicotinate phosphoribosyltransferase, N-terminal domain	10	140	Pfam	2103620
NPY1	PF00293	NUDIX domain; NUDIX hydrolase domain	223	339	Pfam	2124447
NPY1	PF09297	NADH pyrophosphatase zinc ribbon domain; Zinc ribbon, NADH pyrophosphatase	175	199	Pfam	2124448
NQM1	PF00923	Transaldolase/Fructose-6-phosphate aldolase; Transaldolase/Fructose-6-phosphate aldolase	26	327	Pfam	2124588
NRD1	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	341	396	Pfam	2125015
NRD1	PF04818	CID domain; CID domain	13	144	Pfam	2101473
NRE1	PF00106	short chain dehydrogenase; Short-chain dehydrogenase/reductase SDR	3	192	Pfam	2121594
NRK1	PF00485	Phosphoribulokinase / Uridine kinase family; Phosphoribulokinase/uridine kinase	9	162	Pfam	2101032
NRM1	PF08528	Whi5 like; Transcription factor Nrm1/Whi5	103	127	Pfam	2125095
NRP1	PF00641	Zn-finger in Ran binding protein and others; Zinc finger, RanBP2-type	355	384	Pfam	2114943
NRP1	PF00641	Zn-finger in Ran binding protein and others; Zinc finger, RanBP2-type	581	609	Pfam	2114944
NSA2	PF01201	Ribosomal protein S8e; Ribosomal protein S8e/ribosomal biogenesis NSA2	32	260	Pfam	2120800
NSE1	PF07574	Nse1 non-SMC component of SMC5-6 complex; Non-structural maintenance of chromosomes element 1	19	258	Pfam	2129447
NSE1	PF08746	RING-like domain; Zinc finger, RING-like	271	324	Pfam	2129448
NSE3	PF01454	MAGE family; MAGE homology domain	31	267	Pfam	2128190
NSE4	PF08743	Nse4 C-terminal; Non-structural maintenance of chromosome element 4, C-terminal	306	401	Pfam	2122318
NSE4	PF15412	Binding domain of Nse4/EID3 to Nse3-MAGE; Nse4/EID protein, Nse3/MAGE-binding domain	103	159	Pfam	2122319
NSE5	PF08691	DNA repair proteins Nse5 and Nse6; DNA repair protein Nse5/Nse6	1	516	Pfam	2127193
NSG1	PF07281	Insulin-induced protein (INSIG); Insulin-induced protein family	104	258	Pfam	2095213
NSG2	PF07281	Insulin-induced protein (INSIG); Insulin-induced protein family	116	262	Pfam	2101769
NSI1	PF13921	Myb-like DNA-binding domain	348	408	Pfam	2131201
NSL1	PF08641	Kinetochore protein Mis14 like; Kinetochore Mis14/Nsl1	62	194	Pfam	2130398
NSP1	PF05064	Nsp1-like C-terminal region; Nucleoporin, NSP1-like, C-terminal	621	730	Pfam	2109864
NSR1	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	170	239	Pfam	2113029
NSR1	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); RNA recognition motif domain	269	338	Pfam	2095098
NST1	PF13945	Salt tolerance down-regulator; Stress response protein NST1	6	160	Pfam	2125559
NTA1	PF00795	Carbon-nitrogen hydrolase; Carbon-nitrogen hydrolase	24	141	Pfam	2121079
NTE1	PF00027	Cyclic nucleotide-binding domain; Cyclic nucleotide-binding domain	822	933	Pfam	2099620
NTE1	PF00027	Cyclic nucleotide-binding domain; Cyclic nucleotide-binding domain	962	1054	Pfam	2128034
NTE1	PF01734	Patatin-like phospholipase; Patatin-like phospholipase domain	1373	1535	Pfam	2128035
NTF2	PF02136	Nuclear transport factor 2 (NTF2) domain; Nuclear transport factor 2	9	121	Pfam	2115676
NTG1	PF00633	Helix-hairpin-helix motif; Helix-hairpin-helix motif	223	247	Pfam	2113644
NTG1	PF00730	HhH-GPD superfamily base excision DNA repair protein; HhH-GPD domain	149	295	Pfam	2113645
NTG2	PF00730	HhH-GPD superfamily base excision DNA repair protein; HhH-GPD domain	153	300	Pfam	2129570
NTH1	PF01204	Trehalase; Glycoside hydrolase, family 37	163	721	Pfam	2114003
NTH1	PF07492	Neutral trehalase Ca2+ binding domain; Neutral trehalase Ca2+ binding	106	135	Pfam	2114004
NTH2	PF01204	Trehalase; Glycoside hydrolase, family 37	192	750	Pfam	2116159
NTH2	PF07492	Neutral trehalase Ca2+ binding domain; Neutral trehalase Ca2+ binding	135	164	Pfam	2116160
NTO1	PF10513	Enhancer of polycomb-like; Enhancer of polycomb-like, N-terminal	22	222	Pfam	2103831
NTO1	PF13831	PHD-finger	278	310	Pfam	2130877
